,best_match_score,Facility Name,Provider Name,Address,Provider Street Address,Provider City,City,Provider State,State
426583,-2.2682313785772212,CENTRO MEDICO WILMA N VAZQUEZ,BAPTIST MEDICAL CENTER EAST,CARR. 2 KM 39.5    ROAD NUMBER 2 BO ALGARROBO,400 TAYLOR ROAD,MONTGOMERY,VEGA BAJA,AL,PR
83147,-2.1240709785816803,DOCTOR CENTER HOSPITAL SAN FERNANDO DE LA CAROLINA,OVERLAKE HOSPITAL MEDICAL CENTER,EDIF JESUS T PINEIRO AVE FERNANDEZ JUNCOS BO PUEBL,1035-116TH AVE NE,BELLEVUE,CAROLINA,WA,PR
42615,-2.1067456914066147,HOSPITAL ONCOLOGICO DR ISAAC GONZALEZ MARTINEZ,SCRIPPS MERCY HOSPITAL,BO. MONACILLOS CARR 22 CENTRO MEDICO DE PUERTO RIC,4077 5TH AVE,SAN DIEGO,SAN JUAN,CA,PR
450467,-2.050887909953459,CENTRO DE SALUD CONDUCTUAL MENONITA-CIMA,MILFORD REGIONAL MEDICAL CENTER,CARR ESTATAL 14 INTERIOR SARGENTO GERARDO SANTIAGO,14 PROSPECT STREET,MILFORD,AIBONITO,MA,PR
476442,-1.996508033524785,ADMIN DE SERVICIOS MEDICOS  PUERTO RIC,MAINE MEDICAL CENTER,BO MONACILLO CARR NUM 22,22 BRAMHALL ST,PORTLAND,SAN JUAN,ME,PR
342692,-1.9826727130095647,HOSP COMUNITARIO BUEN SAMARITANO,ELBERT MEMORIAL HOSPITAL,CARR.2 KM.1.4 AVE. SEVERIANO CUEVAS #18,4 MEDICAL DRIVE,ELBERTON,AGUADILLA,GA,PR
406228,-1.92217065180047,P H S INDIAN HOSPITAL-FT BELKNAP AT HARLEM - CAH,ST PETER'S HOSPITAL,"456 GROS VENTRE AVE, RR 1",2475 BROADWAY,HELENA,HARLEM,MT,MT
189650,-1.897706655924329,HOSPITAL DR CAYETANO COLL Y TOSTE,WHEELING HOSPITAL,CARRETERA 129 KM.1 AVENIDA SAN LUIS,1 MEDICAL PARK,WHEELING,ARECIBO,WV,PR
475440,-1.8433424387908015,96th Medical Group (Eglin AFB),YAVAPAI REGIONAL MEDICAL CENTER,96 MDG 307 Boatner Rd Suite 114,1003 WILLOW CREEK ROAD,PRESCOTT,Eglin AFB,AZ,FL
237775,-1.8356950154424168,P H S INDIAN HOSPITAL CROW / NORTHERN CHEYENNE,NORTHERN WESTCHESTER HOSPITAL,"1010 SOUTH 7650 EAST, POST OFFICE BOX 9",400 EAST MAIN STREET,MOUNT KISCO,CROW AGENCY,NY,MT
