Account_Num,Provider_Num,City,Hosp_Name,Hosp_Address,Score,Acct_Name_Lookup,Reimbursement_Name_Lookup
94995,825914,1,1.0,1.0,3.0,CLAIBORNE MEDICAL CENTER_1850 OLD KNOXVILLE HIGHWAY_TAZEWELL_TN,CLAIBORNE MEDICAL CENTER_1850 OLD KNOXVILLE HIGHWAY_TAZEWELL_TN
94953,819181,1,1.0,1.0,3.0,LAKE CHARLES MEMORIAL HOSPITAL_1701 OAK PARK BLVD_LAKE CHARLES_LA,LAKE CHARLES MEMORIAL HOSPITAL_1701 OAK PARK BLVD_LAKE CHARLES_LA
94943,680596,1,1.0,1.0,3.0,VALLEY PRESBYTERIAN HOSPITAL_15107 VANOWEN ST_VAN NUYS_CA,VALLEY PRESBYTERIAN HOSPITAL_15107 VANOWEN ST_VAN NUYS_CA
94923,403151,1,1.0,1.0,3.0,UNIVERSITY COLO HEALTH MEMORIAL HOSPITAL CENTRAL_1400 E BOULDER ST_COLORADO SPRINGS_CO,UNIVERSITY COLO HEALTH MEMORIAL HOSPITAL CENTRAL_1400 E BOULDER ST_COLORADO SPRINGS_CO
94887,752284,1,0.0,1.0,2.0,NEW YORK-PRESBYTERIAN BROOKLYN METHODIST HOSPITAL_506 SIXTH STREET_BROOKLYN_NY,NEW YORK METHODIST HOSPITAL_506 SIXTH STREET_BROOKLYN_NY
94856,817494,1,0.0,1.0,2.0,BAYSHORE MEDICAL CENTER_727 N BEERS ST_HOLMDEL_NJ,BAYSHORE COMMUNITY HOSPITAL_727 N BEERS ST_HOLMDEL_NJ
94835,270458,1,1.0,1.0,3.0,ALLIANCEHEALTH MIDWEST_2825 PARKLAWN DRIVE_MIDWEST CITY_OK,ALLIANCEHEALTH MIDWEST_2825 PARKLAWN DRIVE_MIDWEST CITY_OK
94816,252069,1,1.0,1.0,3.0,LA PORTE HOSPITAL_1007 LINCOLNWAY_LA PORTE_IN,LA PORTE HOSPITAL_1007 LINCOLNWAY_LA PORTE_IN
94807,544823,1,1.0,1.0,3.0,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL AT RAHWAY_865 STONE ST_RAHWAY_NJ,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL AT RAHWAY_865 STONE ST_RAHWAY_NJ
94771,245533,1,1.0,1.0,3.0,INOVA MOUNT VERNON HOSPITAL_2501 PARKERS LANE_ALEXANDRIA_VA,INOVA MOUNT VERNON HOSPITAL_2501 PARKERS LANE_ALEXANDRIA_VA
94770,604328,1,1.0,1.0,3.0,ABILENE REGIONAL MEDICAL CENTER_6250 HWY 83/84_ABILENE_TX,ABILENE REGIONAL MEDICAL CENTER_6250 HWY 83/84_ABILENE_TX
94753,720794,1,1.0,1.0,3.0,F F THOMPSON HOSPITAL_350 PARRISH STREET_CANANDAIGUA_NY,F F THOMPSON HOSPITAL_350 PARRISH STREET_CANANDAIGUA_NY
94695,178601,1,1.0,1.0,3.0,FAIRFIELD MEDICAL CENTER_401 NORTH EWING STREET_LANCASTER_OH,FAIRFIELD MEDICAL CENTER_401 NORTH EWING STREET_LANCASTER_OH
94686,607217,1,0.0,1.0,2.0,ADVENTHEALTH FISH MEMORIAL_1055 SAXON BLVD_ORANGE CITY_FL,FLORIDA HOSPITAL FISH MEMORIAL_1055 SAXON BLVD_ORANGE CITY_FL
94677,797415,1,1.0,1.0,3.0,NORTHWEST COMMUNITY HOSPITAL 1_800 W CENTRAL ROAD_ARLINGTON HEIGHTS_IL,NORTHWEST COMMUNITY HOSPITAL 1_800 W CENTRAL ROAD_ARLINGTON HEIGHTS_IL
94673,788642,1,1.0,1.0,3.0,"MERCY MEDICAL CENTER REDDING_2175 ROSALINE AVE, CLAIRMONT HGTS_REDDING_CA","MERCY MEDICAL CENTER REDDING_2175 ROSALINE AVE, CLAIRMONT HGTS_REDDING_CA"
94662,552225,1,0.0,1.0,2.0,SSM HEALTH ST ANTHONY HOSPITAL - SHAWNEE_1102 W MACARTHUR_SHAWNEE_OK,ST ANTHONY SHAWNEE HOSPITAL_1102 W MACARTHUR_SHAWNEE_OK
94659,574455,1,1.0,1.0,3.0,PIEDMONT HENRY HOSPITAL_1133 EAGLE'S LANDING PARKWAY_STOCKBRIDGE_GA,PIEDMONT HENRY HOSPITAL_1133 EAGLE'S LANDING PARKWAY_STOCKBRIDGE_GA
94652,772968,1,0.0,1.0,2.0,"PIEDMONT WALTON HOSPITAL, INC_2151 W SPRING STREET_MONROE_GA",CLEARVIEW  REGIONAL MEDICAL CENTER_2151 WEST SPRING STREET_MONROE_GA
94636,115154,1,1.0,1.0,3.0,ADVOCATE CONDELL MEDICAL CENTER_801 S MILWAUKEE AVE_LIBERTYVILLE_IL,ADVOCATE CONDELL MEDICAL CENTER_801 S MILWAUKEE AVE_LIBERTYVILLE_IL
94620,789028,1,0.0,1.0,2.0,HCA HOUSTON HEALTHCARE KINGWOOD_22999 US HWY 59_KINGWOOD_TX,KINGWOOD MEDICAL CENTER_22999 US HWY 59_KINGWOOD_TX
94571,684733,1,1.0,1.0,3.0,ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER_4440 W 95TH STREET_OAK LAWN_IL,ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER_4440 W 95TH STREET_OAK LAWN_IL
94494,159781,1,1.0,1.0,3.0,SHERIDAN MEMORIAL HOSPITAL_1401 W 5TH ST_SHERIDAN_WY,SHERIDAN MEMORIAL HOSPITAL_1401 W 5TH ST_SHERIDAN_WY
94480,193062,1,1.0,1.0,3.0,SSM HEALTH SAINT JOSEPH HOSPITAL-LAKE SAINT LOUIS_100 MEDICAL PLAZA_LAKE SAINT LOUIS_MO,SSM HEALTH SAINT JOSEPH HOSPITAL-LAKE SAINT LOUIS_100 MEDICAL PLAZA_LAKE SAINT LOUIS_MO
94472,322698,1,1.0,1.0,3.0,NORTON HOSPITAL / NORTON HEALTHCARE PAVILION / NOR_200 EAST CHESTNUT STREET_LOUISVILLE_KY,NORTON HOSPITAL / NORTON HEALTHCARE PAVILION / NOR_200 EAST CHESTNUT STREET_LOUISVILLE_KY
94468,122117,1,1.0,1.0,3.0,KAISER FOUNDATION HOSPITAL MANTECA_1777 WEST YOSEMITE AVE_MANTECA_CA,KAISER FOUNDATION HOSPITAL MANTECA_1777 WEST YOSEMITE AVE_MANTECA_CA
94405,580851,1,1.0,1.0,3.0,TEXAS HEALTH PRESBYTERIAN HOSPITAL DENTON_3000 N I-35_DENTON_TX,TEXAS HEALTH PRESBYTERIAN HOSPITAL DENTON_3000 N I-35_DENTON_TX
94382,471732,1,1.0,1.0,3.0,BON SECOURS DEPAUL MEDICAL CENTER_150 KINGSLEY LANE_NORFOLK_VA,BON SECOURS DEPAUL MEDICAL CENTER_150 KINGSLEY LANE_NORFOLK_VA
